Id	Control	Uid	Category	Original	Translated
1693	jobparametersdialog	fld_rpm	None		
1686	grblconfigcontrol	fld_findSetting	None		
1634	grblconfigview	fld_findSetting	None		
1692	centerfindercontrol	fld_passes	None		
1505	configcontrol	fld_toolScalePct	None	%	%
1410	libstrings	str_contHomeUnlock	None	&lt;Home&gt; or &lt;Unlock&gt; to continue	&lt;歸位&gt; 或者 &lt;解鎖&gt; 然後繼續
1409	libstrings	str_contHome	None	&lt;Home&gt; to continue	&lt;歸位&gt; 然後繼續
1411	libstrings	str_contResetUnlock	None	&lt;Reset&gt; then &lt;Unlock&gt; to continue	&lt;復位&gt;然後&lt;解鎖&gt;然後繼續
1412	libstrings	str_contUnlock	None	&lt;Unlock&gt; to continue	&lt;解鎖&gt;然後繼續
1059	probingview	btn_addProfile	Button	...	...
1705	steppercalibrationwizard	str_CalibrationInstructions1	None	1. Select the axis to calibrate, Resolution is set from the underlying setting.	1. Select the axis to calibrate, Resolution is set from the underlying setting.
1706	steppercalibrationwizard	str_CalibrationInstructions2	None	2. Jog to the starting positition in the same direction as the first &quot;Go&quot; move and mark it.	2. Jog to the starting positition in the same direction as the first &quot;Go&quot; move and mark it.
1707	steppercalibrationwizard	str_CalibrationInstructions3	None	3. Enter the Distance to measure, Measured distance is linked to Distance so will be equal.	3. Enter the Distance to measure, Measured distance is linked to Distance so will be equal.
1248	jobview	tab_3DView	Label	3D View	3D仿真
1181	mainwindow	tab_3DView	Label	3D View	3D仿真
1708	steppercalibrationwizard	str_CalibrationInstructions4	None	4. Press the appropriate &quot;Go&quot; button to move the entered distance, measure and enter the value in the Measured field.	4. Press the appropriate &quot;Go&quot; button to move the entered distance, measure and enter the value in the Measured field.
1709	steppercalibrationwizard	str_CalibrationInstructions5	None	5. Press the opposite &quot;Go&quot; button to move back to the origin.\\nThis step can be skipped but avoids repositioning manually to the marked start position if multiple measurements are to be performed.	5. Press the opposite &quot;Go&quot; button to move back to the origin.\\nThis step can be skipped but avoids repositioning manually to the marked start position if multiple measurements are to be performed.
1710	steppercalibrationwizard	str_CalibrationInstructions6	None	6. Press the &quot;Save&quot; button to update the setting.	6. Press the &quot;Save&quot; button to update the setting.
1711	steppercalibrationwizard	str_CalibrationInstructions7	None	7. Repeat from step 4 (or 3). until the measured distance matches the commanded distance with the required accuracy.	7. Repeat from step 4 (or 3). until the measured distance matches the commanded distance with the required accuracy.
1168	mainwindow	mnu_about	Menu	_About	_關於<E2D.tw翻譯>
1060	heightmapcontrol	btn_apply	Button	_Apply	_應用
1061	rotationcontrol	btn_apply	Button	_Apply	_應用
1169	mainwindow	mnu_camera	Menu	_Camera	_攝像頭
1170	mainwindow	mnu_close	Menu	_Close	_關閉
1563	mainwindow	mnu_errorsAndAlarms	Menu	_Error and alarm codes	_錯誤和報警代碼
1171	mainwindow	mnu_exit	Menu	_Exit	_退出
1172	mainwindow	mnu_file	Menu	_File	_文件
1485	gotoflyoutcontrol	str_gotoFlyout	None	_Goto	_轉到
1173	mainwindow	mnu_help	Menu	_Help	_幫助
1348	mainwindow	tab_jogSidebar	None	_Jog	_Jog
1486	jogflyoutcontrol	str_jogFlyout	None	_Jog	_Jog
1066	heightmapcontrol	btn_load	Button	_Load	_加載
1174	mainwindow	mnu_load	Menu	_Load	_加載
1368	macroexecutecontrol	str_macrosFlyout	None	_Macros	_宏按鈕
1175	mainwindow	mnu_open	Menu	_Open	_打開
1176	mainwindow	mnu_openConsole	Menu	_Open Console	_打開控制檯
1370	outlineflyout	str_outlineFlyout	None	_Outline	_加工範圍
1067	heightmapcontrol	btn_probe	Button	_Probe	_探測
1068	heightmapcontrol	btn_save	Button	_Save	_保存
1177	mainwindow	mnu_save	Menu	_Save	_保存
1373	thcmonitorcontrol	str_ThcFlyout	None	_THC monitor	_等離子監控
1178	mainwindow	mnu_transform	Menu	_Transform	_轉換
1538	mainwindow	mnu_videoTutorials	Menu	_Video tutorials	_視頻教程
1180	mainwindow	mnu_wiki	Menu	_Wiki	_幫助
1565	mainwindow	mnu_briefTour	Menu	A _brief tour	_簡要遊覽
1577	configcontrol	lbl_chkProbeConnected	ToolTip	A dialog will be shown until the probe is asserted or the dialog is cancelled.	將顯示一個對話框，直到探測成功或取消該對話框。
1316	heightmapcontrol	str_heightMapInstructions	None	A rapid motion to the map origin including any probe offset will be performed before probing the height map starts.\\nEnsure the initial Z-position is clear of any obstacles that might be encountered during probing.	在開始探測高度圖之前,將執行到 X0Y0 的快速運動。\\n請確保初始Z位置在探測過程中不會碰撞到任何障礙物。
1627	heightmapcontrol	str_heightMapAreaOrigin	None	A rapid motion to X{0} Y{1} will be performed.	A rapid motion to X{0} Y{1} will be performed.
1328	appconfigview	msg_restart	None	A restart is required after changing settings!	更改設置後需要重新啓動！
957	about	dlg_about	Title	About	關於
1089	csselectcontrol	grp_action	Label	Action	行動
1702	steppercalibrationwizard	fld_measured	None	Actual distance.	Actual distance.
1617	macrodialog	mnu_add	Menu	Add	Add
909	macroeditor	btn_add	Button	Add	添加
1132	probingview	mnu_add	Menu	Add	添加
1058	rotationcontrol	btn_addPosition	Button	Add _position	添加位置
1380	mainwindow	str_mnuDragKnife	None	Add drag knife moves	添加拖刀動作
1109	toollengthcontrol	lbl_addOffset	CheckBox	Add offset	添加偏移量
1592	rotationcontrol	lbl_addOffset	ToolTip	Adds a probe point on the left edge.	在左邊緣添加一個探測點。
989	basicconfigcontrol	lbl_agressiveBuffering	CheckBox	Agressive buffering	多個緩衝區塊
1453	libstrings	str_grblStateAlarm	None	ALARM	報警代碼
1560	errorsandalarms	tab_alarms	Label	Alarm codes	報警代碼
1674	grblconfigcontrol	str_settingsWritten	None	All settings written to {0} in the sender folder.	所有設置均寫入上位機文件夾中的 {0}。
920	jobcontrol	btn_cycleStart	ToolTip	Alt+R	Alt+R
949	jobcontrol	btn_stop	ToolTip	Alt+S	Alt+S
1111	configcontrol	lbl_chkProbeStatus	ToolTip	An alarm will be generated by the controller if not enabled and the probe is asserted.	如果未啓用且探頭已置位，控制器將生成警報。
961	gcoderotatedialog	fld_angle	None	Angle:	角度：
1321	rotationcontrol	str_rotationInitFailed	None	Angle: {0} deg	角度：{0} 度
1221	configcontrol	fld_arcResolution	None	Arc resolution:	圓弧分辨率：
1378	mainwindow	str_mnuArcsToLines	None	Arcs to lines	弧線到直線
1600	libstrings	str_verifyStartFrom	None	Are you sure the controller is in the correct state to start from block {0}?	您確定控制器處於從塊 {0} 開始的正確狀態嗎？
1599	libstrings	str_verifySendController	None	Are you sure you want to send the selected blocks to the controller?	您確定要將選定的行發送到控制器嗎？
1251	heightmapcontrol	grp_probeArea	Label	Area to probe	探測區域
1578	probeverify	str_probeVerify	Label	Assert probe to verify connection.	置位探針以驗證連接。
1508	configcontrol	lbl_toolAutoScale	CheckBox	Auto scale tool	自動縮放工具
991	basicconfigcontrol	lbl_autoCompressGcode	CheckBox	Auto-compress gcode on transforms	在轉換時自動壓縮G代碼
1327	toollengthcontrol	str_toolLengthInitFailed	None	Axes must be homed before probing the fixture!	在探測夾具之前必須將軸歸位！
1414	libstrings	str_gcParserAxisError	None	Axis command conflict	軸命令衝突
1704	steppercalibrationwizard	lbl_axis	Label	Axis:	Axis:
1447	libstrings	str_gcParserZPlus	None	Axisword(s) other than Z found	找到除Z以外的軸字
1639	grblconfigcontrol	btn_backup	Button	Backup	備份
1415	libstrings	str_gcParserBadExpr	None	Bad expression	不好的表達式
1675	grblconfigview	tab_basicConfig	Label	Basic settings	基本設定
1574	portdialog	lbl_serialBaud	Label	Baud rate:	鮑率:
1585	libstrings	str_themeBlack	None	Black	黑色
1145	configcontrol	lbl_blackBackgroud	CheckBox	Black background	黑色背景
982	gcodelistcontrol	hdr_block	None	Block	區塊
1256	signalscontrol	lbl_signalBlockDelete	ToolTip	Block delete	區塊刪除
1389	libstrings	str_convBlockOfBlocks	None	Block: {0}/{1}	區塊: {0}/{1}
1390	libstrings	str_convNumBlocks	None	Blocks: {1}	行：{1}
1008	basicconfigcontrol	lbl_keepMdiFocus	ToolTip	Buffers more than one GCode block in controller for smoother execution. For grblHAL only!	在控制器中緩衝多行G代碼以使執行更流暢。只限grblHAL!
990	basicconfigcontrol	lbl_agressiveBuffering	ToolTip	Buffers more than one GCode block in controller for smoother execution. For grblHAL only!	在控制器中緩衝多行G代碼以使執行更流暢。只限grblHAL!
1669	grblconfigcontrol	str_settingsFail	None	Bummer...\\nContinue loading?	糟糕...\\n繼續加載嗎？
1277	basicconfigcontrol	fld_maxBuffer	None	bytes	字節
1050	configcontrol	grp_camera	Label	Camera	攝像頭
1090	rotationcontrol	grp_camera	Label	Camera	攝像頭
1533	probingview	str_cameraPosition	None	Camera position {0}, X: {1}, Y: {2}	攝像頭位置 {0}，X：{1}，Y：{2}
1531	cameracontrol	lbl_cameraToSpindlePosition	CheckBox	camera to spindle	攝像頭到主軸
1535	gcodewrapdialog	btn_cancel	Button	Cancel	取消
912	gcoderotatedialog	btn_cancel	Button	Cancel	取消
911	portdialog	btn_cancel	Button	Cancel	取消
1052	dragknifedialog	btn_cancel	Button	Cancel	取消
913	macroeditor	btn_cancel	Button	Cancel	取消
1161	jobparametersdialog	bn_cancel	Button	Cancel	取消
1423	libstrings	str_gcParserM66PandE	None	Cannot use both P- and E-word with M66	M66 不能同時使用 P 字和 E 字
995	spindlecontrol	lbl_ccw	RadioButton	CCW	反轉
1136	probingview	tab_Center	Label	Center finder	中心點查找
996	statuscontrol	lbl_check	Label	Check	檢查
1454	libstrings	str_grblStateCheck	None	CHECK	檢查
1110	configcontrol	lbl_chkProbeStatus	CheckBox	Check probe status before start (G59.3)	啓動前檢查探頭狀態（G59.3）
1506	jobcontrol	str_checking	None	Checking...	檢查…
914	consolecontrol	btn_clear	Button	Clear	清除
1062	csselectcontrol	btn_clear	Button	Clear	清除
916	toolview	btn_clear	Button	Clear all	清除全部
915	offsetview	btn_clear	Button	Clear all	清除全部
1329	statuscontrol	str_clearEStop	None	Clear E-Stop before &lt;Reset&gt;&gt;	在復位前先清除警報
1408	libstrings	str_contClearResetUnlock	None	clear then &lt;Reset&gt; then &lt;Unlock&gt; to continue	清除警報 &lt;復位&gt; &lt;解鎖&gt; 繼續
1112	toollengthcontrol	lbl_clearToolOffset	Button	Clear tool length offset	清除刀具長度偏置
1322	rotationcontrol	str_rotationInstructions	None	Click edge in image above to select probing action.\\nMove the probe to above the position indicated by green dot before start.	單擊上圖中的邊緣以選擇探測動作。\\n開始前將探頭移動到綠點指示的位置上方。
1088	rotationcontrol	grd_action	ToolTip	Click edge to select probing action.	單擊邊緣以選擇探測操作。
